Художник;Ссылка;Статус;Ссылка
teromioset.;;;"https://vk.com/teromioset"
CreppyLandau;;;"https://vk.com/creppylandau"
BJLT;;;"https://vk.com/bomjjack"
KiriK;;;"https://vk.com/kirik_arts"
BeTry;;Заказы открыты;"https://vk.com/betryy"
artsam;;Заказы открыты;"https://vk.com/club198785439"
Himbeere;;Заказы открыты;"https://vk.com/himbeere79"
Тупое название -_-;;Заказы открыты;"https://vk.com/isumisenpai"
shwwma;;Заказы открыты;"https://vk.com/shwwma"
EreeSt studio;;Заказы открыты;"https://vk.com/ereeststudio"
Орика;;;"https://vk.com/orika_art"
SHONI AGITA;;Заказы открыты;"https://vk.com/shoniagita"
nezunayu;;;"https://vk.com/shiranai"
puhhhel;;Заказы открыты;"https://vk.com/puhhhel"
Sweet and crazy art;;Заказы открыты;"https://vk.com/club194639783"
LEONZO;"https://t.me/leonzo1";Заказы открыты;"https://vk.com/leonzo030"
Weeping Cat;;Заказы открыты;"https://vk.com/weepingcat"
Мифия;;Заказы открыты;"https://vk.com/mifiya"
redgras;"https://t.me/redgras_art";Заказы открыты;"https://vk.com/redgras"
Нейроме;;Заказы открыты;"https://vk.com/neural_knight"
whale dream(Соля арт);;Заказы открыты;"https://vk.com/art_solya"
хлам;;;"https://vk.com/publicsvalka"
